¬
{IMPERIAL_CAMPAIGN_AZTECS_DESCR}	Ashkhan Sul-Matuul\n\n Ashlanders are the Dunmer nomads of the Morrowind wastelands. They claim to be the direct descendants of the Aldmeri peoples who followed the prophet Veloth into the lands now called Morrowind. They live in camps  formed of small, mobile huts, and typically spend time herding guar and hunting wildlife for meat and hides. The traditions of the Ashlanders give them the right to raid other settlements and other tribes for plunder and slaves. They are lead by Ashkhan, or warchiefs, and are counseled by the arcane wisdom and prophecies of their wise women. There also exists a strong belief in their ancestors. The Velothi are people of Ashlander stock who have abandoned nomadic life and settled among the native Dunmer.\n The Velothi are despised by their Ashlander cousins as being weak and soft, while the Dunmer look down upon the Velothi as an insignificant underclass.\n The Ashlanders believe in the anachronistic culture of the old Dunmer, which, for everyone else, has evolved into the theocratic Great Houses of today's other Dunmer. The Ashlanders see the worship of living Dunmer and the practices of Morrowind's main religious organisation, the Tribunal Temple, as an abomination.\n The Ashlanders prefer the simplistic culture and subsistence economy gained from being nomadic herders or hunters. Their ancestor worship and 'barbaric' ways are considered shamanistic and primitive by Dunmer and Imperial standards.\n Ashlander nomadic camps have portable huts bult from hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut.\n The typical Ashlander is badly predisposed towards foreigners, and many wish for said foreigners and their false gods to be driven from Morrowind. Their desire is for the foreign devils to leave in peace. Ashlanders believe it shameful to attack unarmed persons, but they will kill without hesitation an armed person who egregiously offends them or their clan laws. While the pride of Ashlanders is not strong enough to wage unbeatable war against the Empire, it is strong enough to strike when the Empire appears to be weakened. \n Among clan and kin, Ashlander courtesy is very proper and polite. Outsiders would percieve them as harsh and cruel, perhaps hateful by nature. In their society, challenges are very solemn and serious affairs. They take no offense to gifts of money, and take them as tokens of deference and respect.\n Ashlanders may challenge a stranger who enters a yurt (tent/living place) without invitation.  Specific customs for this differ from tribe to tribe, but leaving when requested typically means no offense is taken. When challenged by an Ashlander for sport, it is acceptable to decline. When challenged for honor, however, it is shameful to decline. Honor challenges arise from offense given in speech or action, or may represent customary formal challenges of status or ritual.\n Ashlander pride is strong. The ways of an Ashlander are pure, but demanding to the untested. It will take a strong leader to bring the last true people of Morrowind honor... by force, or all out war if necessary.
{IMPERIAL_CAMPAIGN_AZTECS_TITLE}	Tribes of Ashlanders
___________________________________________________________________________________________________________________________

{CRISIS_TITLE}3E 433 - Oblivion Crisis (Hardcore)
{CRISIS_DESCR} The Oblivion Crisis, also known as the Great Anguish, was a total war between the Daedra and the population of Tamriel. Uriel Septim VII and all of his known heirs were assassinated. Shortly afterward, Oblivion Gates to the Deadlands opened across Tamriel and Daedra poured out as the result of a fanatical cult of worshippers of Mehrunes Dagon known as the Mythic Dawn. Widespread devastation and casualties resulted across entire provinces. The Daedra besieged Skyrim, and laid waste to the Old Holds. In Black Marsh, the Hist called back many Argonians to fight off the Daedra. The Daedric commanders closed many gates to stop the united Argonians from entering.In Cyrodiil, the city of Kvatch was entirely destroyed. The Empire earned the hatred of the Dunmer by pulling Imperial forces out of Morrowind during the crisis in order to better protect Cyrodiil. The Empire was near collapse, but Uriel VII's illegitimate son, Martin Septim, ended the invasion with the help of a mysterious hero, but the cost was enormous. Martin, the last of the Septim bloodline, sacrificed himself and the Amulet of Kings to become Akatosh's Avatar and cast Mehrunes Dagon back into Oblivion. This event marked the end of the Third Era and the beginning of the eventual disintegration of the Third Empire.
{CRISIS_AZTECS_DESCR}	Ashkhan Sul-Matuul\n\n Ashlanders are the nomadic Dunmer barbarians of the Morrowind wastelands. They claim to be the direct descendants of the Aldmeri peoples who followed the prophet Veloth into the lands now called Morrowind. They live in camps of small, mobile huts, herding guar, and hunting wildlife for meat and hides. By tradition the Ashlanders claim the right to raid other settlements and other tribes for plunder and slaves. The Ashlanders worship their ancestors and are led by their Ashkhan, or warchiefs, and are counseled by the arcane wisdom and prophecies of their wise women. The Velothi are people of Ashlander stock who have abandoned nomadic life and settled among the native Dunmer.\n The Velothi are despised by their Ashlander cousins as being weak and soft, while the Dunmer look down upon the Velothi as an insignificant underclass.\n The Ashlander culture is an anachronistic survival of the ancestor worshipping tribal culture that evolved into the theocratic Great House culture of the native Dunmer. They see the worshipp of living Dunmer, the practice of Morrowind's main religious organisation, the Tribunal Temple, as abomination. The Nerevarine Cult can be seen as such an ancestor cult.\n The Ashlanders perversely prefer the impoverished physical culture and subsistence economy of the Ashlander nomadic herder or hunter, and their ancestor worship is shamanistic and primitive by Dunmer and Imperial standards.\n Ashlander nomadic camps have portable huts of hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut.\n Most ashlanders wish all foreigners and their false gods could be driven from Morrowind. At the very least, Ashlanders wish that the foreign devils would leave them in peace. Ashlanders think it shameful to attack unarmed persons, but will kill without hesitation an armed person who offends them or their clan laws. No Ashlander is fool enough to make war against the Empire. However if such a war might be won, many Ashlanders would no doubt cheerfully give their lives to do it.\n Among clan and kin, Ashlander courtesy is very proper and polite, but to strangers they are mean and hateful. Ashlander challenges are very solemn and serious things. Ashlanders are not offended by gifts of money, and take them as tokens of deference and respect. Among outcast Ashlanders, beware the mabrigash, renegade witch warrior women who practice dark magic.\n Ashlanders may challenge a stranger who enters a yurt (tent/living place)  without invitation. Customs differ with different tribes, but leave when requested and you may be forgiven. When challenged for sport, it is acceptable to decline. When challenged for honor it is shameful to decline. Honor challenges come from offense given in speech or action, or may represent customary formal challenges of status or ritual.
{CRISIS_AZTECS_TITLE}	Tribes of Ashlanders
{CRISIS_BYZANTIUM_DESCR}	High King Talcar \n\n As a united power, Summerset Isles is a very recent thing in the politics of Tamriel. In the language of the Ehlnofex, “Aldmeri” means literally “Home of the Elves”. Before founding of the Dominion existed two separate states -- Altmeri kingdom of Alinor, more commonly known as Summerset Isles, and Bosmeri kingdom of Valenwood. Present Aldmeri Dominion in actually a third one -- First and Second were run by the Altmers, or the High Elves, mainly in Second Era. The original Aldmeri Dominion was an empire founded by Queen Ayrenn in 2E 582, in the midst of the Interregnum. It was conceived after Ayrenn assumed the throne of Alinor and consisted of lands being today’s provinces of Summerset Isles, Valenwood and Elsweyr. The Second Dominion was formed in 2E 830 when the Summerset Isles conquered Valenwood over a dynastic dispute. When the heirs of the Camoran Dynasty sought to capture Valenwood's throne, a faction of Bosmer attempted to make peace with their enemies in the Colovian Estates by offering part of the Valenwood territory in exchange for the faction's own claimant. The Altmer, upon hearing of this, invaded Valenwood, citing a stewardship clause in a thousand-year-old treaty between their nations. The Altmer established Thalmor as the new government in Valenwood on behalf of their claimant Camoran Anaxemes. Since the Interregnum still gripped Tamriel, the Colovian armies were easily forced back by the Elves and the Second Aldmeri Dominion was born. Meanwhile, Tiber Septim rose to power in Cyrodiil and began his conquest of Tamriel. The nascent Third Empire expanded and encroached on Dominion territory, forcing the Bosmer attacks to subside. Although there was no formal declaration of war between the Dominion and the Empire, Tamriel had become divided between them in an unfolding clash of civilizations. The catastrophic use of the Numidium ended the long confrontation in 2E 896, resulting in the surrender of the Summerset Isles and the human conquest of Tamriel. The Second Dominion would represent the last time for centuries that the Elves of Tamriel ruled sovereign kingdoms on the continent, the legacy of the Direnni and Aldmer holdings.\n\n Third Aldmeri Dominion was born in the face of weaking Empire of Men, as a way to once again unite all Elves under single banner, and finally shake the chains of human domination. The Dominion can field very powerful -- even if not very numerous -- troops, and its mages are the most skilled ones in the known world. Bosmer archers and Altmer light infantry provide excellent fighting force, able to withstand highly disciplined Imperial Legions from Cyrodiil.
{CRISIS_BYZANTIUM_TITLE}High Kingdom of Summerset Isles
{CRISIS_ALTMER_DESCR}	Lord Naarfin \n\n  The Thalmor resurfaces as a radical political movement that espoused Elven supremacy and xenophobia. For years they were largely ignored, but now, during the Oblivion Crisis they attempt to exploit the confusion... \n\n In the language of the Ehlnofex, “Aldmeri” means literally “Home of the Elves”. Before founding of the Dominion existed two separate states -- Altmeri kingdom of Alinor, more commonly known as Summerset Isles, and Bosmeri kingdom of Valenwood. Present Aldmeri Dominion in actually a third one -- First and Second were run by the Altmers, or the High Elves, mainly in Second Era. The original Aldmeri Dominion was an empire founded by Queen Ayrenn in 2E 582, in the midst of the Interregnum. It was conceived after Ayrenn assumed the throne of Alinor and consisted of lands being today’s provinces of Summerset Isles, Valenwood and Elsweyr. The Second Dominion was formed in 2E 830 when the Summerset Isles conquered Valenwood over a dynastic dispute. When the heirs of the Camoran Dynasty sought to capture Valenwood's throne, a faction of Bosmer attempted to make peace with their enemies in the Colovian Estates by offering part of the Valenwood territory in exchange for the faction's own claimant. The Altmer, upon hearing of this, invaded Valenwood, citing a stewardship clause in a thousand-year-old treaty between their nations. The Altmer established Thalmor as the new government in Valenwood on behalf of their claimant Camoran Anaxemes. Since the Interregnum still gripped Tamriel, the Colovian armies were easily forced back by the Elves and the Second Aldmeri Dominion was born. Meanwhile, Tiber Septim rose to power in Cyrodiil and began his conquest of Tamriel. The nascent Third Empire expanded and encroached on Dominion territory, forcing the Bosmer attacks to subside. Although there was no formal declaration of war between the Dominion and the Empire, Tamriel had become divided between them in an unfolding clash of civilizations. The catastrophic use of the Numidium ended the long confrontation in 2E 896, resulting in the surrender of the Summerset Isles and the human conquest of Tamriel. The Second Dominion would represent the last time for centuries that the Elves of Tamriel ruled sovereign kingdoms on the continent, the legacy of the Direnni and Aldmer holdings.\n\n Third Aldmeri Dominion was born in the face of weaking Empire of Men, as a way to once again unite all Elves under single banner, and finally shake the chains of human domination. The Dominion can field very powerful -- even if not very numerous -- troops, and its mages are the most skilled ones in the known world. Bosmer archers and Altmer light infantry provide excellent fighting force, able to withstand highly disciplined Imperial Legions from Cyrodiil.
{CRISIS_ALTMER_TITLE}Council of Thalmor
{CRISIS_FRANCE_DESCR} Eraegaer Camoran \n\n The History of the Camoran Dynasty dates back to one of the earliest dates in Tamriel’s recorded History, 1E 0. Little is known about the Elf himself, but it is told that it was King Eplear who founded the Dynasty and first succeeded in uniting the fractured clans of Valenwood, Tamriel’s earliest Bosmer, and created their first effective political identity. This is considered one of the “greatest military feats in Tamriel’s history.”
Next to this, Eplear is probably best known for openly welcoming and inviting any race into Valenwood to live side by side with the Bosmeri. One of the most significant instances of refugees fleeing to the protection the Camoran’s offered were the Ayleids, who fled into Valenwood in large numbers after the Slave Rebellion and the rise of the Alessian Empire. For this, he is remembered by Tamriel as a kind, benevolent Monarch. It is from his reign that the Camoran bloodline most likely began to carry not only Altmer blood, but Ayleid bloodlines as well. \n\n The Camoran Dynasty is split into several treethanates, while the ancient Camaron throne itself lies somewhere in the highest branches of Falinesti; the walking tree city of the Bosmer king. Current capital of Valenwood is Elden Root. \n\nThe Bosmer allegedly made the Pact with Y'ffre, the Forest Deity. The Bosmer were religiously carnivorous and cannibalistic as a result of the Green Pact, a central portion of the Bosmer faith. The Green Pact is never explicitly shown, but in its simplest form, it sets these rules down: Bosmer may only consume meat-based products and are forbidden to harm any plant for their own betterment. As a result of these stipulations, Bosmer are dependent on either stone or imported timber for construction purposes. \n\n The Green Pact has also heavily impacted Bosmeri cuisine, combat, and weaponry. They have developed methods of fermenting meat and milk to develop powerful alcoholic beverages and weapons such as bows are often made of treated and shaped bones. Most notable about Bosmeri combat is their stipulation that a combatant must consume an enemy's corpse within 3 days of killing them. Their families are allowed to help eat the kill. This has led to changes in approaches to combat, such as fasting and planning family feasts following a battle. They also cannot smoke anything of a vegetable nature. Bone pipes are common, however, and are filled with caterpillars or tree grubs.
{CRISIS_FRANCE_TITLE}	Kingdom of Valenwood
{CRISIS_DENMARK_DESCR}	Gortworg gro-Nagorm\n\n Orsinium -- fortress and kingdom of orcs in Rotgarian Mountains, High Rock. \n\n First chief of orcs, who rallied them was Torug gro-Igorn. Then news about new kingdom came to ears of all orc rogues, they went to Orsinium. \n\n In one hand, chronicles of mankind describes Orsinium as fortress with brutal laws, and orc raiders, who held in fear all Bjoulsae valley. In one hand, orc chronicles describes themselves as peaceful kin. Both of them could be right. But all this data was destroyed with first siege.\n\n Armies of Daggerfall, Order of Diagna and Sentinel pushed orcs of Torug back to Orsinium just in thirty years. Fortress falled in 1E 980. Its walls were destroyed and became dust.\n\n Retreated orcs seeked for vault, but were expelled from everywhere. Orcs could create their state nowhere.\n\n But in 3E 399 Gortworg gro-Nagorm bought a land near old Orsinium and started to build a new town. Town didn't created negative reaction of commoners because of Gortworg's political talent. New Orsinium became a richful city, and after Warp of the West it has taken all central High Rock.\n\n Later, disruption occured in Orsinium - Gortworg started to honor Trinimac, and named daedric prince Malacath, who was symbol for all orcs In Tamriels. Who knows that cost will pay Gortwor for such dangerous game? \n\n
{CRISIS_DENMARK_TITLE}	Kingdom of Orsinium
{CRISIS_EGYPT_DESCR}		King Ashaad\n\n Hot are the sands of Elsweyr -- land between forests of Valenwood and marshes of Transniben, home to the Khajiit, feline race of cat-people. Nobody knows when they arrived here -- most probably Elsweyr is their ancestral lair, place of their origin. Civilization of the Khajiit predate known civilizations of Mer and Men on Tamriel, and in the ages past cat-people themselves were a lot more widespread than in the First Age. As described in A Pocket Guide to the Empire: “Topal the Pilot in his peregrinations around Tamriel encountered the Khajiit not in Elsweyr, but far up the Niben River, close to the Imperial City, where they preyed on other native creatures.” The desert in the times past was split into a number of smaller states, warring with each other for dominance and because of pride. That state of things lasted long until the time of the Thrassian Plague in 1E 2200 that devastated the whole of Tamriel in the course of hundreds of years. A large number of the peripheral areas of Elsweyr, destructed by plague and following war, split off and joined into the Cyrodiilic Empire of the Remans. This further sapped Khajiit unity though established a system of trust with outside powers. The Khajiit would remain loyal but non-enthusiastic about Imperial power and were one of the few supporters of the Akaviri Potentate Versidue Shaie who moved the Imperial court from the Imperial City to Senchal, a city in southern Elsweyr. Only the kingdoms of Anequina and Pellitine are known to have survived catastrophe of plague and submission intact, and they decided at that time to forge an Alliance of Peace -- thereby creating a unified confederacy under protection of the Empire of Men. “Sugar” wars and petty vendettas were forgotten, and chieftains tattooed new agreements on their faces. New confederacy was cemented by marriage -- Keirgo of Anequina married Eshita of Pellitine in 2E 309. In the light of the negotiations it is suggested the old Khajiiti saying was issued, “a perfect society is always found elsewhere”. With this, the Kingdom of Elsweyr was created, it's capitol to be in Ne Quin-al. Peace not lasted for long. Soon, the civil war broke the country, a bloody conflict that lasted for fifteen long years. Old hatreds lived once more, it appeared that two united states will in a moment fall into dozen of new warring, petty kingdoms. In 2E 324 Potentate Versidue Shaie was murdered by the Morag Tong in Senchal, soon afterwards the rebel Khajiit had sacked Ne Quin-al forcing the royal family to flee. \n\n Peace was restored by a religious leader and reformer, the Mane Rid-T'har-ri'Datta. Ri'Datta set out the cyclical pattern of power sharing that relied on the lunar patterns. He stated that Ne Quin-al would hold power during a full moon, Senchal the new moon, and Torval his own capitol, would hold power when the moon was at half. This left him with the most time shared in power but it was often divided into a number of other small kingdoms that rose and fell during this time. This act, called the Riddle'thar, created a principle foundation of power sharing that was able to appease all parties involved while remaining under the overall auspice of the Mane. Thus the Mane gained power and prestige as a figure for internal and external politics. In time, the Mane gained power of a dictator over whole Elsweyr, and to this day he rules the Khajiit as a head of the state, and head of the religion. \n\n Today the former areas of kingdom of Anequina (also called by its old name, Ne Quin-al) are directly ruled by a monarch from relatively young dynasty. In the north monarchic tendencies were always strong -- after all it was Anequina that was a home of old kings. Current Mane, residing in Pellitine, is a weak leader, and local kings and chiefs used this to their advantage, strengthening own position and bringing back menace of separation. Opposition against absolute domination of the Mane is strong in Anequina, and sentiment for independence still alive...
{CRISIS_EGYPT_TITLE}		Kingdom of Anequina
{CRISIS_ENGLAND_DESCR}	Martin Septim \n\n The Septim Empire or the Third Empire is the largest and most powerful state in the history of Tamriel. It was founded in the Second Era by a Dragonborn, Tiber Septim, known as Talos -- or so the official records say.\n\n The bases of its formation begin to appear in 2E 852, when the young Talos, while serving under king Cuhlecain, defeated the Breton-Nord invading alliance at the Battle of Sancre Tor. In 2E 854 unknown assassins kill Cuhlecain (rumored to be a Breton nightblades), who was later also known as "Emperor Zero". The same killer tries to cut the throat of General Talos, but the latter survives, though because of the terrible wounds on the neck he was deprived of his ability to use the Thu'um. From that moment, General Talos takes a Cyrodilic name - Tiber Septim and takes the throne. This event marks the birth of the Third Empire.\n\n Now Emperor, Tiber Septim, in what would be known later as the Tiber Wars, begin victorious campaigns against the other nations of Tamriel, combining them into a single empire -- first of such kind since Second Empire of Cyrodiils. A special role in these campaigns has been played by the dragon Nafaalilargus and the Dwemer construct called Numidium, accelerating success in capturing  provinces such as Morrowind and Summerset, respectively.\n\n In 896 of the Second Era Alinor, the capital of the Summerset isles, surrenders after a brief siege by the Numidium. From that moment all of Tamriel is united under one banner -- the banner of the Septim Empire, and thus begin a new, Third Era.
{CRISIS_ENGLAND_TITLE}	Empire of Cyrodiil
{CRISIS_COLOVIA_DESCR}	Count Titus Mede \n\n The Septim Empire or the Third Empire is the largest and most powerful state in the history of Tamriel. It was founded in the Second Era by a Dragonborn, Tiber Septim, known as Talos -- or so the official records say.\n\n The bases of its formation begin to appear in 2E 852, when the young Talos, while serving under king Cuhlecain, defeated the Breton-Nord invading alliance at the Battle of Sancre Tor. In 2E 854 unknown assassins kill Cuhlecain (rumored to be a Breton nightblades), who was later also known as "Emperor Zero". The same killer tries to cut the throat of General Talos, but the latter survives, though because of the terrible wounds on the neck he was deprived of his ability to use the Thu'um. From that moment, General Talos takes a Cyrodilic name - Tiber Septim and takes the throne. This event marks the birth of the Third Empire.\n\n Now Emperor, Tiber Septim, in what would be known later as the Tiber Wars, begin victorious campaigns against the other nations of Tamriel, combining them into a single empire -- first of such kind since Second Empire of Cyrodiils. A special role in these campaigns has been played by the dragon Nafaalilargus and the Dwemer construct called Numidium, accelerating success in capturing  provinces such as Morrowind and Summerset, respectively.\n\n In 896 of the Second Era Alinor, the capital of the Summerset isles, surrenders after a brief siege by the Numidium. From that moment all of Tamriel is united under one banner -- the banner of the Septim Empire, and thus begin a new, Third Era.\n\n 
{CRISIS_COLOVIA_TITLE}	Colovian Highlands
{CRISIS_HRE_DESCR}		Daedric God Mehrunes Dagon\n\n Oblivion \n\n For many long millennia Mehrunes Dagon -- Daedric Prince of Destruction and Change -- was preparing for what he called “Tamriel Reborned” -- great invasion of the mortal world, and claiming it as his own. Lord Dagon believe that Tamriel, the Starry Heart, is in reality another piece of Oblivion, stolen by treacherous Daedra from its rightful Prince, Lorkhan -- the Missing God. It is only just that the Lord of Change of Revolution himself would lay hand on abandoned domain. When Dragonfires became unlit and barrier between Nirn and Oblivion disappeared, hordes of demonic forces led by disciplined Dremora legions invaded whole Tamriel in a swift strike, all under the banner of Lord Dagon.\n\n Nobody was prepared for this conflict. Oblivion gates maintained by powerful sigil stones were opened at once in every province, from mushroom forests of the Telvanni to rocky hills of High Rock. Hordes of Oblivion are commanded by hierarchic Dremora, who call themselves Kyn -- mighty knights of Lord Dagon, loyal and deadly, commanded by sense of honor and duty. There are also mortals who sided with the Daedra, calling themselves “Mythic Dawn” -- their numbers grow with every day...
{CRISIS_HRE_TITLE}		Hordes of Oblivion
{CRISIS_HUNGARY_DESCR}	Archmagister Gothren\n\n “The wizard-lords of House Telvanni have traditionally isolated themselves, pursuing wisdom and mastery in solitude. But certain ambitious wizards-lords, their retainers, and clients have entered whole-heartedly into the competition to control and exploit Vvardenfell's land and resources, building towers and bases all along the eastern coast. According to Telvanni principles, the powerful define the standards of virtue.” - quote from “Great Houses of Morrowind”\n\n Mighty wizard-lords of Great House Telvanni are the most isolationist, arrogant and traditionalistic of all Great Houses of Morrowind -- and the last is not a big surprise, considering that Houses rulers are usually thousands-year old masters of arcane arts, who were old already when Empire of Tiber Septim was young. The Telvanni believe that wisdom confers power, and power confers right. Many Telvanni are known to be necromancers, some of which drove themselves mad with the practice, and their retainers are often involved in illegal activities that made House Telvanni unpopular amongst other Houses. Given their distrustful and xenophobic nature, this is likely the way they prefer it to be. House Telvanni is also the main source of business for the Morrowind slave trade. As a rule, House Telvanni is known to be obscenely wealthy. Some accounts claim that as a whole, in the later years of the Third Era, the House had a net worth rivalling the riches of the Imperial Treasury. Much of this financial leverage was greatly mitigated by the fact that many Telvanni exhausted their resources with ceaseless bickering and in fighting. Entire cities had been known to change hands repeatedly between two or more Telvanni wizard-lords over petty grievances and minor disputes that had, over the centuries, grown into major blood-wars. Often, the citizens of Telvanni controlled regions did not care much for or even especially notice the internal politics of the Great House, as abstract magickal vendettas between lofty, never-seen plutocrats and their legions of paid pawns rarely interrupted the lives of the common Dunmeri serf. A few notable exceptions to this did occur in instances of Telvanni lords massacring each other's logistical assets, but the House had various ways of making such occurrences “disappear” when the public outcry became too great. Additionally, a great deal of Telvanni wealth was spent on purely hedonistic extravagance and many luxuries for which most Telvanni had no real use.\n\n “We trust all members of House Telvanni to use their own judgement. If you steal from another Telvanni, but still live, then clearly you deserve whatever you stole. Murdering your opponents by magic or treachery is the traditional way of settling disputes. If you win, then clearly your argument has more merit. You may be expelled as in any other Great House, but most Telvanni will not care or even know about it. Does this appeal to you?” - rules of the Great House Telvanni, as being taught to new members\n\n The House Telvanni have two capitals: Sadrith Mora on Vvardenfell and Port Telvannis, situated on Telvanni Isles in the Padomaic Ocean, north east of Morrowind. Its ruling body is the Council -- place of meeting for all wizard masters, represented usually by ones called Voices. Honorary title of the head of House Telvanni falls to the master wizard called Archmagister -- in most cases he or she is also the one most powerful, cunning and deceitful.
{CRISIS_HUNGARY_TITLE}	Great House Telvanni
{CRISIS_MILAN_DESCR}		Lord Vivec\n\n Temple of the Tribunal is the largest and most prominent religious organization in Morrowind -- in fact, up until couple hundred years ago it was only legal faith, heretics and heathens were persecuted and, at best, banished. Tribunal orthodoxy teaches, that in the center of worship are three immortal, divine rulers -- Lord Vivec, the Warrior-Poet God, Lady Almalexia, the Mother-Goddess, and Lord Sotha Sil, the Clockmaster. From names of these everlasting god-kings come sacred designation of the Tribunal -- ALMSIVI. These three figures form the basis of worship, not being abstract concept or distant enigmas -- indeed, anyone willing to do so can meet in person with Almalexia or Vivec, in their respective cities named after them (Sotha Sil is a little bit more reclusive). Temple cult contains also very elaborate hierarchy of ancestral spirits and saints -- ones like Saint Veloth or Saint Nerevar -- including so-called Anticipations, that is three Daedric Princes who serve as a prototypes for the Tribunal, and were worshipped in times before rise of the Tribunes. Anticipations are Azura, Mephala and Boethiah. Center of the ancestral worship -- which also predates the Tribunal -- lies in the holy city of Necrom, in Sacred East. Temple is strictly organized into religious hierarchy with the head in shape of Tribunes themselves, followed by archcanons and so on. Great House Indoril, one of the Great Houses of Morrowind, is at this point practically part of the Temple, providing members to various Orders of the religions.\n\n The Tribunal preaches compassion, charity, courage, pride and justice, embodying them in life, such a caring for the poor and sick. At the same time the power of the Temple is largely based on the strength of its subordinate soldiers -- guards who maintain order on the streets of the cities belonging to the Temple, fighting the necromancers, vampires and servants of the Sixth House, as well as serving in the Inquisition.\n\n Doctrinal enemies of the Tribunal consist mainly of Four Corners of the House of Troubles -- Daedric Princes who refused, in Temple’s eyes, authority of the Tribunes -- these are Mehrunes Dagon, Molag Bal, Sheogorath and Malacath. Greatest mundane enemy of the Tribunal is Dagoth Ur, called Sharmat -- The Devil of the Red Mountain. Traditionally, atheistic House Telvanni also opposes power of the Temple, while recognizing might of the Tribunes themselves.
{CRISIS_MILAN_TITLE}		Tribunal Temple
{CRISIS_MOORS_DESCR}		King Lhothun\n\n Hammerfell is the eternal outsider of the human lands, either regarded by the Imperial citizen as Tamriel's dark and exotic west or its most tempestuous and dangerous quarter, full of barbarians and cutthroats. Both descriptions are apt, and can be equally attributed to its people, the proud and savage Redguards. \n\n Under the provincial organization of the Second Empire, two Redguard "parties" formed to aid Cyrodiil's administration of Hammerfell. The ancient Na-Totambu ruling class retained the rights of noble council as the Crowns, and the much-admired warriors of the Ra Gada were finally granted rights of ownership within their tribal districts. This empowerment fundamentally changed the Ra Gada, who began to call themselves the Forebears, firmly announcing their status as the first Redguards on Tamriel. This republic, however, lasted only so long as the Cyrodiils were strong enough to support it. During the Imperial Interregnum, control reverted back to the hereditary monarchy of the Na-Totambu. The new "High King" was even so bold as to move his throne from Old Hegathe to the more prosperous Forebear city of Sentinel, which had, by this time, mastered a third of the trade of the Iliac Bay.\n\n After the death of the last High King of Hammerfell, Thassad II, in 2E 862, the Forebears took Sentinel by force in a bid to end the Crowns' oppression. Thassad's son Prince A'tor moved to recapture the city, resulting in the bloodiest massacre in Hammerfell's history. The Forebears sought aid from Tiber Septim and the Third Empire, and together they defeated A'tor's forces at the Battle of Hunding Bay. Septim took the opportunity to install Imperial governors in Hammerfell's major cities in a bid to draw the region into his burgeoning Empire, part of his ongoing conquest of Tamriel. The ruthless tactics of the governors resulted in rebellions in Stros M'Kai and Sentinel, however, forcing Septim to agree to a treaty with the Crown and Forebear factions in order to keep Hammerfell an Imperial province.\n\n Centuries later, the Thalmor of the Aldmeri Dominion would attempt to seize control of Hammerfell from the Third Empire. Emperor Titus Mede II's refusal to concede to Thalmor demands triggered the Great War in 4E 171. Aldmeri forces crossed western Cyrodiil and invaded Hammerfell's southern coast, easily sweeping through the scattered resistance put up by the disunited Redguards. Initially only seeking to conquer Hammerfell, the Dominion launched a full-scale invasion of Cyrodiil when it realized the Empire was weaker than previously believed. Imperial fortunes took a turn for the better in Hammerfell two years later, when a Forebear army from Sentinel broke the siege of the Crown city of Hegathe, leading to the reconciliation of the two factions. After the Empire's hard-won victory in the Battle of the Red Ring in 4E 175, the Empire and Dominion signed the White-Gold Concordat and ended the war. Outraged that the terms of the treaty called for a large portion of southern Hammerfell to be turned over to the Dominion, however, the Redguards soundly rejected it. Titus II was forced to officially renounce Hammerfell as an Imperial province to preserve the peace, and fighting between the Aldmeri and Redguards continued. In 4E 180, the exhausted Dominion agreed to the Second Treaty of Stros M'Kai and finally withdrew from the region, leaving Hammerfell an independent albeit devastated nation.\n\n Redguards are divided between the cosmopolitan, progressive Forebears and the fundamentalist, isolationist Crowns. The Forebears are the descendants of the Yokudan military class, the Ra Gada, and are generally open to outside cultures such as the Imperials and Bretons; the Crowns are the descendants of the Yokudan noble class and still prefer to shun outsiders, vying to preserve the customs and culture of their ancestors.
{CRISIS_MOORS_TITLE}		Clan of Forebears
